   1  1  1 18 1 1 0 1 0 0 1 0 0 0
   2  2  1 18 1 1 0 0 1 1 0 0 0 0
   3  3  1 16 1 1 1 1 0 0 0 0 0 0
   4  4  1 18 1 1 1 0 0 1 0 0 0 0
   5  5  1 16 1 1 0 1 1 1 0 0 0 0
   6  6  1 17 1 1 1 0 0 0 0 0 0 0
   7  7  1 17 1 1 1 1 0 0 0 1 0 0
   8  8  1 16 1 0 1 1 0 1 1 0 0 0
   9  9  1 17 1 0 0 0 0 0 0 0 1 0
  10 10  1 18 1 0 1 0 0 0 1 0 0 0
  11 11  1 17 1 1 0 1 0 1 1 0 0 0
  12 12  1 16 1 0 1 1 1 1 1 0 0 0
  13 13  1 17 1 1 0 1 0 0 0 0 1 1
  14 14  1 16 1 1 0 0 1 0 0 0 0 0
  15 15  1 17 1 1 1 1 1 1 0 0 0 0
  16 16  1 17 1 1 1 0 0 1 1 0 0 0
  17 17  1 17 1 0 1 1 0 1 1 1 0 1
  18 18  1 17 1 1 0 1 1 0 0 0 0 0
  19 19  1 16 1 1 1 1 1 0 0 0 0 0
  20 20  1 17 1 0 0 1 0 0 1 0 0 0
  21 21  1 16 1 1 1 1 0 0 0 0 0 0
  22 22  1 16 0 0 1 0 0 0 1 0 0 0
  23 23  1 17 1 1 0 0 0 0 1 0 0 0
  24 24  1 15 1 0 1 1 0 1 0 0 0 0
  25 25  1 17 1 1 0 1 1 0 1 0 0 0
  26 26  1 17 1 1 1 1 1 1 0 1 0 0
  27 27  1 16 1 1 1 1 0 1 0 0 0 0
  28 28  1 18 0 1 0 1 1 0 0 0 0 0
  29 29  1 16 0 1 1 0 0 0 1 1 0 1
  30 30  1 17 1 1 1 1 1 0 0 1 1 0
  31 31  1 17 1 1 1 0 0 1 1 0 0 0
  32 32  1 17 1 1 1 1 1 0 0 0 1 0
  33 33  1 16 1 1 1 0 1 0 1 1 0 0
  34 34  1 17 1 1 0 0 1 1 0 1 0 1
  35 35  1 17 1 1 1 1 1 1 0 0 0 1
  36 36  1 17 1 1 1 1 0 0 0 0 0 0
  37 37  1 13 1 1 0 1 0 0 0 0 0 0
  38 38  1 16 1 1 1 1 0 0 1 0 0 0
  39 39  1 19 1 1 1 1 1 1 0 0 1 0
  40 40  1 16 1 1 1 1 1 1 0 1 0 0
  41 41  1 16 1 0 1 0 1 1 1 1 0 0
  42 42  1 14 1 1 1 1 1 1 0 0 0 0
  43 43  1 17 1 1 1 1 0 0 0 1 0 0
  44 44  1 17 0 0 1 0 0 1 1 1 0 0
  45 45  1 16 1 1 1 0 1 1 0 0 0 1
  46 46  1 18 1 1 0 1 0 0 1 0 0 0
  47 47  1 19 1 0 0 0 0 1 0 0 0 0
  48 48  1 17 1 1 1 0 0 0 0 0 0 0
  49 49  1 18 1 0 1 0 1 0 1 0 0 0
  50 50  1 16 1 1 0 1 0 0 1 0 0 0
  51  1  2 15 1 1 1 0 1 1 0 0 1 0
  52  2  2 17 1 1 0 1 0 1 0 0 0 0
