117 W21_4952_REGSYS_2014.csv 4456804 19 1 w21_4952_lopenr_person 0 0 NA NA NA NA NA NA NA NA
117 W21_4952_REGSYS_2014.csv 4456804 19 2 w21_4952_lopenr_virksomhet 0 0 NA NA NA NA NA NA NA NA
117 W21_4952_REGSYS_2014.csv 4456804 19 3 w21_4952_lopenr_foretak 0 0 NA NA NA NA NA NA NA NA
117 W21_4952_REGSYS_2014.csv 4456804 19 4 pers_alder 0 0 15 109 45.81 45 362.36 19.04 0.32 -0.74
117 W21_4952_REGSYS_2014.csv 4456804 19 5 arb_arbkomm 1568198 35.19 101 2699 902.04 831 345287.73 587.61 0.33 -1.14
117 W21_4952_REGSYS_2014.csv 4456804 19 6 arb_arbmark_status 0 0 0 3 0.73 1 0.37 0.61 0.56 1.17
117 W21_4952_REGSYS_2014.csv 4456804 19 7 arb_arbtid 1567907 35.18 1 3 2.45 3 0.71 0.84 -1.01 -0.82
117 W21_4952_REGSYS_2014.csv 4456804 19 8 arb_arbtim 1567907 35.18 0 99.99 30.5 37.5 130.17 11.41 -0.91 -0.32
117 W21_4952_REGSYS_2014.csv 4456804 19 9 arb_hovedarbeid 0 0 0 2 0.69 1 0.3 0.55 0 -0.63
117 W21_4952_REGSYS_2014.csv 4456804 19 10 arb_yrke 0 0 NA 9999999 NA NA 6064446171826.76 2462609.63 NA NA
117 W21_4952_REGSYS_2014.csv 4456804 19 11 arb_yrke_publ 0 0 NA NA NA NA NA NA NA NA
117 W21_4952_REGSYS_2014.csv 4456804 19 12 frtk_org_form 0 0 NA NA NA NA NA NA NA NA
117 W21_4952_REGSYS_2014.csv 4456804 19 13 frtk_sektor_2014 1570151 35.23 1110 9000 4052.47 2100 5712469.29 2390.08 0.43 -1.55
117 W21_4952_REGSYS_2014.csv 4456804 19 14 pers_kjoenn 0 0 1 2 1.5 1 0.25 0.5 0 -2
117 W21_4952_REGSYS_2014.csv 4456804 19 15 pers_kommnr 0 0 101 2599 911.62 834 349198.65 590.93 0.35 -0.99
117 W21_4952_REGSYS_2014.csv 4456804 19 16 pers_persontype 0 0 2 13 12.02 12 0.73 0.85 -10.34 119.7
117 W21_4952_REGSYS_2014.csv 4456804 19 17 pers_tiltak 4181280 93.82 0 7 4.63 6 7.61 2.76 -0.98 -0.91
117 W21_4952_REGSYS_2014.csv 4456804 19 18 virk_nace1_sn07 1593137 35.75 0 99 62.06 66.19 655.36 25.6 -0.64 -0.56
117 W21_4952_REGSYS_2014.csv 4456804 19 19 virk_kilde_nace1 0 0 NA 4 NA NA 1.09 1.04 NA NA
