names
1 w21_4952_lopenr_person
2 NUS2000_FAR_16
3 NUS2000_MOR_16
4 SOSBAK
5 KOMM_16
6 AAR_FORSTE_FULLF_GS
7 AAR_FORSTE_FULLF_VS
8 AAR_FORSTE_FULLF_VS_LOV
9 AAR_FORSTE_FULLF_VSA
10 AAR_FORSTE_FULLF_VSA_LOV
11 AAR_FORSTE_FULLF_VSY
12 AAR_FORSTE_FULLF_VSY_LOV
13 AAR_FORSTE_FULLF_HOY
14 AAR_FORSTE_FULLF_CMG
15 AAR_FORSTE_FULLF_HOV
16 AAR_FORSTE_FULLF_DOK
17 AAR_FORSTE_FULLF_BACH
18 SEMESTER_FFF_VS
19 SEMESTER_FFF_VS_LOV
20 SEMESTER_FFF_VSA
21 SEMESTER_FFF_VSA_LOV
22 SEMESTER_FFF_VSY
23 SEMESTER_FFF_VSY_LOV
24 SEMESTER_FFF_HOY
25 SEMESTER_FFF_CMG
26 SEMESTER_FFF_HOV
27 SEMESTER_FFF_DOK
28 SEMESTER_FFF_BACH
29 SEMESTER_TOT_FFF_VS
30 SEMESTER_TOT_FFF_VS_LOV
31 SEMESTER_TOT_FFF_VSA
32 SEMESTER_TOT_FFF_VSA_LOV
33 SEMESTER_TOT_FFF_VSY
34 SEMESTER_TOT_FFF_VSY_LOV
35 SEMESTER_TOT_FFF_HOY
36 SEMESTER_TOT_FFF_CMG
37 SEMESTER_TOT_FFF_HOV
38 SEMESTER_TOT_FFF_DOK
39 SEMESTER_TOT_FFF_BACH
40 AAR_NY_I_VID_UTD
41 AAR_NY_I_VID_UTD_LOV
42 AAR_FORSTE_REG_UH
43 AAR_FORSTE_REG_HOV
44 ALDER_FORSTE_REG_UH
