YA	YB	YC	LESION$	DRUG$
7.34544903220444	15.3454490322044	9.34544903220444	SURGERY	ACTIVE
6.90521846479686	14.9052184647969	8.90521846479686	SURGERY	ACTIVE
7.08603972242205	15.0860397224221	9.08603972242205	SURGERY	ACTIVE
5.42671938449326	13.4267193844933	7.42671938449326	SURGERY	ACTIVE
6.09723175435473	14.0972317543547	8.09723175435473	SURGERY	ACTIVE
7.35506813866908	15.3550681386691	9.35506813866908	SURGERY	ACTIVE
6.80256789410924	14.8025678941092	8.80256789410924	SURGERY	ACTIVE
5.59993972345987	13.5999397234599	7.59993972345987	SURGERY	ACTIVE
6.80991480048664	14.8099148004866	8.80991480048664	SURGERY	ACTIVE
3.28278872349671	11.2827887234967	5.28278872349671	SURGERY	ACTIVE
5.38959724467701	13.389597244677	7.38959724467701	SURGERY	ACTIVE
7.30099317032109	15.3009931703211	9.30099317032109	SURGERY	ACTIVE
5.48039924883466	13.4803992488347	7.48039924883466	SURGERY	ACTIVE
6.6807192221291	14.6807192221291	8.6807192221291	SURGERY	ACTIVE
6.62618298259815	14.6261829825982	8.62618298259815	SURGERY	ACTIVE
6.48856496396157	14.4885649639616	8.48856496396157	SURGERY	ACTIVE
6.34369520013778	14.3436952001378	8.34369520013778	SURGERY	ACTIVE
5.51506127988538	13.5150612798854	7.51506127988538	SURGERY	ACTIVE
7.27777503728363	15.2777750372836	9.27777503728363	SURGERY	ACTIVE
6.29811865862235	14.2981186586224	8.29811865862235	SURGERY	ACTIVE
5.10733725952728	13.1073372595273	7.10733725952728	SURGERY	ACTIVE
5.07633131383947	13.0763313138395	7.07633131383947	SURGERY	ACTIVE
5.86575511915912	13.8657551191591	7.86575511915912	SURGERY	ACTIVE
5.92972810627284	13.9297281062728	7.92972810627284	SURGERY	ACTIVE
5.39022218229859	13.3902221822986	7.39022218229859	SURGERY	ACTIVE
5.78120320116633	13.7812032011663	7.78120320116633	SURGERY	ACTIVE
3.91666241048568	11.9166624104857	5.91666241048568	SURGERY	ACTIVE
5.28408280797285	13.2840828079729	7.28408280797285	SURGERY	ACTIVE
5.81255075695805	13.8125507569581	7.81255075695805	SURGERY	ACTIVE
5.43822984920883	13.4382298492088	7.43822984920883	SURGERY	ACTIVE
6.61483491788916	14.6148349178892	8.61483491788916	SURGERY	ACTIVE
6.36382300746479	14.3638230074648	8.36382300746479	SURGERY	ACTIVE
10.824038849253	10.824038849253	12.824038849253	SURGERY	PLACEBO
10.3929152659021	10.3929152659021	12.3929152659021	SURGERY	PLACEBO
9.97836938495724	9.97836938495724	11.9783693849572	SURGERY	PLACEBO
10.1112657921568	10.1112657921568	12.1112657921568	SURGERY	PLACEBO
9.14808013334194	9.14808013334194	12.148	SURGERY	PLACEBO
9.85133126318386	9.85133126318386	11.8513312631839	SURGERY	PLACEBO
10.2457096324851	10.2457096324851	12.2457096324851	SURGERY	PLACEBO
9.48938119389919	9.48938119389919	11.4893811938992	SURGERY	PLACEBO
9.67067009352499	9.67067009352499	11.670670093525	SURGERY	PLACEBO
8.99380900690715	8.99380900690715	10.9938090069071	SURGERY	PLACEBO
8.76243666051382	8.76243666051382	10.7624366605138	SURGERY	PLACEBO
10.0339582879634	10.0339582879634	12.0339582879634	SURGERY	PLACEBO
10.672	10.672	11.6716706633165	SURGERY	PLACEBO
10.438325517412	10.438325517412	12.438325517412	SURGERY	PLACEBO
8.80947823549589	8.80947823549589	10.8094782354959	SURGERY	PLACEBO
8.95124652484446	8.95124652484446	10.9512465248445	SURGERY	PLACEBO
11.3169020497628	11.3169020497628	13.3169020497628	SURGERY	PLACEBO
12.2656758654681	12.2656758654681	14.2656758654681	SURGERY	PLACEBO
9.218	9.218	11.218	SURGERY	PLACEBO
9.7155044708733	9.7155044708733	11.7155044708733	SURGERY	PLACEBO
10.1089676214462	10.1089676214462	12.1089676214462	SURGERY	PLACEBO
9.56434311741424	9.56434311741424	11.5643431174142	SURGERY	PLACEBO
9.75502650593669	9.75502650593669	11.7550265059367	SURGERY	PLACEBO
10.662461635986	10.662461635986	12.662461635986	SURGERY	PLACEBO
9.60270865179685	9.60270865179685	11.6027086517968	SURGERY	PLACEBO
12.3932881289088	12.3932881289088	14.3932881289088	SURGERY	PLACEBO
9.33943652956109	9.33943652956109	11.3394365295611	SURGERY	PLACEBO
9.74257736570483	9.74257736570483	11.7425773657048	SURGERY	PLACEBO
4.245	4.245	1.24521169546736	SHAM	ACTIVE
4.56683289110433	4.56683289110433	2.56683289110433	SHAM	ACTIVE
5.03475588692647	5.03475588692647	3.03475588692647	SHAM	ACTIVE
5.63556805285133	5.63556805285133	3.63556805285133	SHAM	ACTIVE
4.87492262547618	4.87492262547618	2.87492262547618	SHAM	ACTIVE
3.85788887622463	3.85788887622463	1.85788887622463	SHAM	ACTIVE
3.80405558898524	3.80405558898524	1.80405558898524	SHAM	ACTIVE
4.06147141659752	4.06147141659752	2.06147141659752	SHAM	ACTIVE
1.82593950073578	1.82593950073578	.826	SHAM	ACTIVE
4.88736247059453	4.88736247059453	2.88736247059453	SHAM	ACTIVE
4.32845012250589	4.32845012250589	2.32845012250589	SHAM	ACTIVE
3.69783647057286	3.69783647057286	1.69783647057286	SHAM	ACTIVE
4.0341732593971	4.0341732593971	2.0341732593971	SHAM	ACTIVE
2.995	2.995	-.00462342628181567	SHAM	ACTIVE
4.28936147502228	4.28936147502228	2.28936147502228	SHAM	ACTIVE
2.81278656903387	2.81278656903387	.812786569033874	SHAM	ACTIVE
4.1897660744959	4.1897660744959	2.1897660744959	SHAM	ACTIVE
2.45391544221346	2.45391544221346	1.454	SHAM	ACTIVE
3.11642369156859	3.11642369156859	1.11642369156859	SHAM	ACTIVE
5.578903011605	5.578903011605	3.578903011605	SHAM	ACTIVE
3.09175331914522	3.09175331914522	1.09175331914522	SHAM	ACTIVE
2.82937319167461	2.82937319167461	.82937319167461	SHAM	ACTIVE
4.19268015788723	4.19268015788723	2.19268015788723	SHAM	ACTIVE
3.66056992853793	3.66056992853793	1.66056992853793	SHAM	ACTIVE
4.40435157085326	4.40435157085326	2.40435157085326	SHAM	ACTIVE
5.17365143536139	5.17365143536139	3.17365143536139	SHAM	ACTIVE
2.81702581394344	2.81702581394344	.817025813943437	SHAM	ACTIVE
4.36721547821058	4.36721547821058	2.36721547821057	SHAM	ACTIVE
3.53363049061792	3.53363049061792	1.53363049061792	SHAM	ACTIVE
4.19072041752962	4.19072041752962	2.19072041752962	SHAM	ACTIVE
4.35483115265975	4.35483115265975	2.35483115265975	SHAM	ACTIVE
4.73458288726312	4.73458288726312	2.73458288726312	SHAM	ACTIVE
4.88261772621416	4.88261772621416	2.88261772621416	SHAM	ACTIVE
3.55634676954861	3.55634676954861	1.55634676954861	SHAM	ACTIVE
3.94849806290159	3.94849806290159	1.94849806290159	SHAM	ACTIVE
4.3512218739007	4.3512218739007	2.3512218739007	SHAM	ACTIVE
6.28259860114462	6.28259860114462	4.28259860114462	SHAM	ACTIVE
2.60676145174871	2.60676145174871	.606761451748706	SHAM	ACTIVE
4.42691192085192	4.42691192085192	2.42691192085192	SHAM	ACTIVE
3.8114795754047	3.8114795754047	1.8114795754047	SHAM	ACTIVE
2.34983644464032	2.34983644464032	.349836444640325	SHAM	ACTIVE
10.3153591399193	14.3153591399193	12.3153591399193	SHAM	PLACEBO
6.92043535207068	10.9204353520707	8.92043535207068	SHAM	PLACEBO
9.01489700673888	13.0148970067389	11.0148970067389	SHAM	PLACEBO
7.713	11.713	7.71333297606231	SHAM	PLACEBO
7.26091298908162	11.2609129890816	9.26091298908162	SHAM	PLACEBO
9.49859686074009	13.4985968607401	11.4985968607401	SHAM	PLACEBO
8.20290159201401	12.202901592014	10.202901592014	SHAM	PLACEBO
9.633	13.633	10.6333916203012	SHAM	PLACEBO
7.34787105545825	11.3478710554582	9.34787105545825	SHAM	PLACEBO
6.45163528245149	10.4516352824515	8.45163528245149	SHAM	PLACEBO
7.76835134199313	11.7683513419931	9.76835134199313	SHAM	PLACEBO
6.72159929794522	10.7215992979452	8.72159929794522	SHAM	PLACEBO
6.92764812255454	10.9276481225545	8.92764812255454	SHAM	PLACEBO
8.24834441111433	12.2483444111143	10.2483444111143	SHAM	PLACEBO
9.5826142403168	13.5826142403168	11.5826142403168	SHAM	PLACEBO
6.13225944979479	10.1322594497948	8.1322594497948	SHAM	PLACEBO
8.15658129943804	12.156581299438	10.156581299438	SHAM	PLACEBO
6.5970140663226	10.5970140663226	8.5970140663226	SHAM	PLACEBO
8.34014607572557	12.3401460757256	10.3401460757256	SHAM	PLACEBO
6.65081764826292	10.6508176482629	9.651	SHAM	PLACEBO
7.881	11.881	8.88086840470763	SHAM	PLACEBO
9.01296722332476	13.0129672233248	11.0129672233248	SHAM	PLACEBO
8.32999521665533	12.3299952166553	10.3299952166553	SHAM	PLACEBO
6.95260430494911	10.9526043049491	8.95260430494911	SHAM	PLACEBO
9.093	13.093	10.0926806705314	SHAM	PLACEBO
7.25911434313758	11.2591143431376	9.25911434313758	SHAM	PLACEBO
8.13443039218211	12.1344303921821	10.1344303921821	SHAM	PLACEBO
7.94368570462958	11.9436857046296	9.94368570462958	SHAM	PLACEBO
8.52754022391108	12.5275402239111	10.5275402239111	SHAM	PLACEBO
9.12528957659768	13.1252895765977	11.1252895765977	SHAM	PLACEBO
8.66324778212354	12.6632477821235	10.6632477821235	SHAM	PLACEBO
6.93245131745779	10.9324513174578	8.93245131745779	SHAM	PLACEBO
7.30963403383148	11.3096340338315	10.31	SHAM	PLACEBO
9.249	13.249	10.248937993437	SHAM	PLACEBO
8.437555263376	12.437555263376	10.437555263376	SHAM	PLACEBO
8.05609304846351	12.0560930484635	10.0560930484635	SHAM	PLACEBO
6.95971408131626	10.9597140813163	8.95971408131626	SHAM	PLACEBO
7.8027059329871	11.8027059329871	9.8027059329871	SHAM	PLACEBO
7.5993165069204	11.5993165069204	9.5993165069204	SHAM	PLACEBO
7.40598564780239	11.4059856478024	9.40598564780238	SHAM	PLACEBO
6.95976214052754	10.9597621405275	9.96	SHAM	PLACEBO
9.30656363476162	13.3065636347616	11.3065636347616	SHAM	PLACEBO
8.35364059026238	12.3536405902624	10.3536405902624	SHAM	PLACEBO
6.84505355436124	10.8450535543612	8.84505355436124	SHAM	PLACEBO
8.37589012598217	12.3758901259822	11.376	SHAM	PLACEBO
9.99086333860593	13.9908633386059	11.9908633386059	SHAM	PLACEBO
8.20233823728378	12.2023382372838	10.2023382372838	SHAM	PLACEBO
7.66316443367415	11.6631644336741	9.66316443367415	SHAM	PLACEBO
6.82740829302726	10.8274082930273	9.827	SHAM	PLACEBO
9.84436070390677	13.8443607039068	11.8443607039068	SHAM	PLACEBO
