ATTRIB	DIFF	FAIL	Y
1	1	1	12.0595095843926
1	1	1	9.25110051523731
1	1	1	11.1219073247352
1	1	1	14.2042852501583
1	1	1	12.1132073216042
1	1	1	17.4963990768543
1	1	1	16.0647150230985
1	1	1	10.3394871340526
1	1	1	14.6932680652973
1	1	2	13.6767945117533
1	1	2	15.7021499305679
1	1	2	8.41848073143865
1	1	2	13.8101640064319
1	1	2	15.8640876658787
1	1	2	19.1672238338798
1	1	2	14.2912470138801
1	1	2	17.5844374449221
1	1	2	14.6894087052386
1	2	1	11.4003691820279
1	2	1	14.7898459411467
1	2	1	11.778266953007
1	2	1	11.9984059144393
1	2	1	14.722668463306
1	2	1	9.18002904447697
1	2	1	14.9162799179177
1	2	1	11.91396229862
1	2	1	12.381761341598
1	2	2	17.2201659113042
1	2	2	10.8320742394396
1	2	2	17.9040986032755
1	2	2	19.6153390766336
1	2	2	19.0869010217185
1	2	2	18.7762616851351
1	2	2	18.6925887523978
1	2	2	20.013077846864
1	2	2	15.0663081350082
1	2	2	9.76166932475723
2	1	1	6.33995855329276
2	1	1	11.2812388810382
2	1	1	11.7602096770967
2	1	1	13.5496731788433
2	1	1	10.0929405424883
2	1	1	13.4176898127034
2	1	1	7.46020209065735
2	1	1	11.6625539855209
2	1	1	12.3558624613048
2	1	1	13.8068598744585
2	1	1	11.7897626001123
2	1	2	16.8756645705679
2	1	2	11.2425038531304
2	1	2	12.0295852478614
2	1	2	11.413578090103
2	1	2	13.0847261498686
2	1	2	13.2443828402277
2	1	2	10.9667052272228
2	1	2	9.34997629400278
2	2	1	11.2331116234639
2	2	1	14.8410153820432
2	2	1	13.9192773553574
2	2	1	13.030311535666
2	2	1	4.08355492567006
2	2	1	4.51600544874538
2	2	1	14.411284198446
2	2	1	8.8976108665052
2	2	1	11.6401946111059
2	2	1	7.41125486032232
2	2	1	10.7934538938511
2	2	2	6.61025390576084
2	2	2	9.38412716188785
2	2	2	12.5396509645377
2	2	2	13.1181093527349
2	2	2	5.83839090615615
2	2	2	9.00960433490289
2	2	2	5.98837194987796
2	2	2	12.0445511202727
2	2	2	10.1989071752024
2	2	2	9.50327708321893
2	2	2	16.0894160314393
2	2	2	13.2566895168576
2	2	2	8.64916699472626
2	2	2	7.79521802938223
2	2	2	9.29687641967307
2	2	2	12.8965454527296
3	1	1	10.7465689174531
3	1	1	12.5422751694595
3	1	1	12.069431113817
3	1	1	9.21143818351126
3	1	1	11.1882759362188
3	1	1	13.8460332423477
3	1	1	11.8668800484928
3	1	1	7.69826756479691
3	1	1	13.7481067102681
3	1	1	11.3483881772051
3	1	1	12.100579175667
3	1	2	6.30804600878429
3	1	2	6.23925542362902
3	1	2	9.26304240150104
3	1	2	5.23699271263497
3	1	2	4.66929931495372
3	1	2	6.02076772626332
3	1	2	6.57226165778302
3	1	2	8.03422697948275
3	2	1	8.27979871049883
3	2	1	9.96080239227619
3	2	1	7.44125366328279
3	2	1	5.86147666682244
3	2	1	5.67863869126604
3	2	1	14.6919159048006
3	2	1	14.0321346601791
3	2	1	10.0296782609815
3	2	1	11.5267324824383
3	2	1	8.49280380001257
3	2	2	6.83118056983902
3	2	2	5.85735932279079
3	2	2	12.2753120455003
3	2	2	5.39585181149356
3	2	2	2.60403856022669
3	2	2	5.38750780692799
3	2	2	3.77226594124136
3	2	2	6.45442174927136
