ID	TIME	GROUP	YE	YF	LAG1YE	WAVE
1	1	0	10.0099182640654	10.0099182640654	10	1
1	2	0	9.55176834993831	9.55176834993831	10.0099182640654	2
1	3	0	9.40541957072752	9.40541957072752	9.55176834993831	3
1	4	0	9.7728004457539	9.7728004457539	9.40541957072752	4
1	5	0	9.79166833268793	9.79166833268793	9.7728004457539	5
2	1	0	10.117024988428	10.117024988428	10	1
2	2	0	9.02010511033443	9.02010511033443	10.117024988428	2
2	3	0	8.82179911140642	8.82179911140642	9.02010511033443	3
2	4	0	8.9658137223862	8.9658137223862	8.82179911140642	4
2	5	0	9.66035102803283	9.66035102803283	8.9658137223862	5
3	1	0	9.62971115883451	9.62971115883451	10	1
3	2	0	9.29611214457438	9.29611214457438	9.62971115883451	2
3	3	0	9.41655688845872	9.41655688845872	9.29611214457438	3
3	4	0	8.61322839587155	8.61322839587155	9.41655688845872	4
3	5	0	8.76594171552449	8.76594171552449	8.61322839587155	5
4	1	0	10.6025565127723	10.6025565127723	10	1
4	2	0	11.117040016392	11.117040016392	10.6025565127723	2
4	3	0	11.5797502972479	11.5797502972479	11.117040016392	3
4	4	0	12.0285150893142	12.0285150893142	11.5797502972479	4
4	5	0	12.6973613971248	12.6973613971248	12.0285150893142	5
5	1	0	10.2582788631406	10.2582788631406	10	1
5	2	0	9.94043562022194	9.94043562022194	10.2582788631406	2
5	3	0	10.1767172556725	10.1767172556725	9.94043562022194	3
5	4	0	9.42008427078208	9.42008427078208	10.1767172556725	4
5	5	0	9.3638432683689	9.3638432683689	9.42008427078208	5
6	1	0	10.0049308746436	10.0049308746436	10	1
6	2	0	9.90719388966074	9.90719388966074	10.0049308746436	2
6	3	0	10.0879815813055	10.0879815813055	9.90719388966074	3
6	4	0	10.2953787213435	10.2953787213435	10.0879815813055	4
6	5	0	10.1231629258806	10.1231629258806	10.2953787213435	5
7	1	0	8.68059248761168	8.68059248761168	10	1
7	2	0	7.43326006240257	7.43326006240257	8.68059248761168	2
7	3	0	7.83514076214357	7.83514076214357	7.43326006240257	3
7	4	0	7.31807590656111	7.31807590656111	7.83514076214357	4
