TIME	ID	YG
1	1	10.0099182640654
2	1	9.54185008587288
3	1	9.85365122078921
4	1	10.3673808750264
5	1	10.018867886934
1	2	10.117024988428
2	2	8.90308012190644
3	2	9.80169400107199
4	2	10.1440146109798
5	2	10.6945373056466
1	3	9.62971115883451
2	3	9.66640098573988
3	3	10.1204447438843
4	3	9.19667150741283
5	3	10.1527133196529
1	4	10.6025565127723
2	4	10.5144835036198
3	4	10.4627102808558
4	4	10.4487647920663
5	4	10.6688463078107
1	5	10.2582788631406
2	5	9.68215675708139
3	5	10.2362816354506
4	5	9.24336701510956
5	5	9.94375899758682
1	6	10.0049308746436
2	6	9.90226301501717
3	6	10.1807876916448
4	6	10.2073971400379
5	6	9.82778420453714
1	7	8.68059248761168
2	7	8.7526675747909
3	7	10.401880699741
4	7	9.48293514441753
5	7	9.94003243518432
1	8	10.1863515587892
2	8	8.97306515102602
3	8	9.50160072248381
4	8	8.99806199164633
5	8	10.0074251867121
1	9	9.29920300489704
2	9	9.54947940327884
3	9	10.1494242421216
4	9	9.95776148624218
5	9	10.2570458615766
1	10	9.44971126079948
2	10	10.4580177850447
3	10	10.0580646962009
4	10	10.1834298626112
5	10	9.55134100146405
1	11	11.5953769429638
2	11	11.8390378299138
3	11	11.8799664517498
4	11	12.160133732046
5	11	11.7402089438805
1	12	12.4211220804064
2	12	11.9154673000021
3	12	11.9718634283065
4	12	11.8095598871318
5	12	12.87921867425
1	13	11.5769233824755
2	13	11.7412746155231
3	13	12.1086307963224
4	13	12.2872143312064
5	13	12.6465768537207
1	14	12.5451085878766
2	14	11.9765762021467
3	14	11.7258156851305
4	14	11.6459516271297
5	14	12.0828543730139
1	15	12.0265854636946
2	15	11.5820597948212
3	15	12.1773779462307
4	15	11.9497250482638
5	15	13.1310446005806
1	16	12.1538563087835
2	16	12.6727245161022
3	16	12.4526092323984
4	16	12.543019861211
5	16	11.7133596922466
1	17	10.6413943617484
2	17	11.6947986223385
3	17	12.6504965851605
4	17	11.7401996244173
5	17	12.3403596110646
1	18	12.1490593293112
2	18	11.5536686297636
3	18	11.5381656569197
4	18	11.9328775595796
5	18	11.9648640531364
1	19	11.7191149246044
2	19	12.3074174589446
3	19	12.1819115037324
4	19	12.4120194246265
5	19	12.1964576329511
1	20	11.7446905969496
2	20	11.8353350467625
3	20	11.4969045034536
4	20	11.3812183302569
5	20	12.0169791439817
1	21	15.1328379327341
2	21	13.1089637842636
3	21	13.8577522354366
4	21	14.0544838107231
5	21	13.7821715587071
1	22	13.8712886828524
2	22	13.6226058477337
3	22	14.2834164455522
4	22	14.5173779434632
5	22	14.8177840264257
1	23	14.4436812352973
2	23	14.1642250612529
3	23	13.8489182352864
4	23	14.0170866296986
5	23	12.9976882868591
1	24	14.7894515058025
2	24	13.5458766595726
3	24	13.4146865958373
4	24	14.0963400789436
5	24	13.830284964269
1	25	14.0953602087648
2	25	14.1774155763299
3	25	14.3672914436316
4	25	14.4413088631071
5	25	13.7781733847743
1	26	13.9057397877024
2	26	13.1749182223202
3	26	15.1576795699596
4	26	13.4602176760353
5	26	14.5074485033694
1	27	13.6739355277291
2	27	13.2258176412257
3	27	13.8841756709966
4	27	13.3607996489726
5	27	13.4638240612773
1	28	14.1700730378628
2	28	13.3254088241315
3	28	13.4404342023538
