ID	TIME	GROUP	YA	YB
1	1	0	7.50991826406543	10.0099182640654
1	2	0	8.04185008587288	9.54185008587288
1	3	0	9.50991826406543	9.85365122078921
1	4	0	10.8673808750264	10.3673808750264
1	5	0	11.518867886934	10.018867886934
2	1	0	7.61702498842799	10.117024988428
2	2	0	7.40308012190644	8.90308012190644
2	3	0	9.61702498842799	9.80169400107199
2	4	0	10.6440146109798	10.1440146109798
2	5	0	12.1945373056466	10.6945373056466
3	1	0	7.12971115883451	9.62971115883451
3	2	0	8.16640098573988	9.66640098573988
3	3	0	9.12971115883451	10.1204447438843
3	4	0	9.69667150741283	9.19667150741283
3	5	0	11.6527133196529	10.1527133196529
4	1	0	8.10255651277227	10.6025565127723
4	2	0	9.01448350361976	10.5144835036198
4	3	0	10.1025565127723	10.4627102808558
4	4	0	10.9487647920663	10.4487647920663
4	5	0	12.1688463078107	10.6688463078107
5	1	0	7.75827886314055	10.2582788631406
5	2	0	8.18215675708139	9.68215675708139
5	3	0	9.75827886314055	10.2362816354506
5	4	0	9.74336701510956	9.24336701510956
5	5	0	11.4437589975868	9.94375899758682
6	1	0	7.50493087464357	10.0049308746436
6	2	0	8.40226301501717	9.90226301501717
6	3	0	9.50493087464357	10.1807876916448
6	4	0	10.7073971400379	10.2073971400379
6	5	0	11.3277842045371	9.82778420453714
7	1	0	6.18059248761168	8.68059248761168
7	2	0	7.2526675747909	8.7526675747909
7	3	0	8.18059248761168	10.401880699741
7	4	0	9.98293514441753	9.48293514441753
7	5	0	11.4400324351843	9.94003243518432
8	1	0	7.68635155878915	10.1863515587892
8	2	0	7.47306515102602	8.97306515102602
8	3	0	9.68635155878915	9.50160072248381
8	4	0	9.49806199164633	8.99806199164633
8	5	0	11.5074251867121	10.0074251867121
9	1	0	6.79920300489704	9.29920300489704
9	2	0	8.04947940327884	9.54947940327884
9	3	0	8.79920300489704	10.1494242421216
9	4	0	10.4577614862422	9.95776148624218
9	5	0	11.7570458615766	10.2570458615766
10	1	0	6.94971126079948	9.44971126079948
10	2	0	8.95801778504469	10.4580177850447
10	3	0	8.94971126079948	10.0580646962009
10	4	0	10.6834298626112	10.1834298626112
10	5	0	11.051341001464	9.55134100146405
11	1	0	8.09537694296383	11.5953769429638
11	2	0	9.33903782991379	11.8390378299138
11	3	0	10.3799664517498	11.8799664517498
11	4	0	11.660133732046	12.160133732046
11	5	0	12.2402089438805	11.7402089438805
12	1	0	8.92112208040639	12.4211220804064
12	2	0	9.4154673000021	11.9154673000021
12	3	0	10.4718634283065	11.9718634283065
