RPERF1	RPERF2	RPERF3	RPERF4	GROUP
102.925945410297	80.2424998010945	61.7066627820935	85.8427455745043	1
56.3418093265076	56.8196045325695	55.8351080463034	52.9841098322694	1
40.920912358225	53.9908638630728	60.9244537873635	62.5409711210811	1
21.2904811705878	11.829309151371	.00141268600099076	32.7716577002386	0
72.5321630060586	47.9834991219844	54.9727996209057	55.6983457076118	1
28.0319569890466	47.0292132296684	46.9708518954419	69.9733713169167	0
19.7311718149855	59.4228351534838	47.0547140642049	53.597535001026	0
56.8034468367583	65.354345406781	50.0687067912601	55.7579467482608	1
45.4884701799969	51.1151914005234	73.3536952467367	49.2114579088486	1
30.4892213593535	47.6547048854365	70.6611427848822	71.7926337854117	1
72.3483586623917	82.3020905613814	68.9953005227705	60.1946855729381	0
65.7084750275217	51.2951725431627	50.4967231746978	29.0448926899918	0
50.7727753081734	76.4245927237785	51.8556971111535	30.0239848083918	1
85.5888850653284	91.6357413263899	98.9323911728363	85.517165676132	1
40.7457387749217	52.0207530179348	47.5393114826578	50.0061654772766	0
83.5462322915587	63.9895704091349	54.3033440384689	41.2786811424274	1
34.6388839618696	56.1656604812811	64.1159353716198	83.0037473446745	0
61.011724671524	58.3479611758317	64.145870223281	48.9809496764839	1
59.4965582410565	91.3424628220818	75.9521058309288	71.1500389232565	0
79.1536629953534	73.8757478223215	80.6162987072853	91.030532382362	1
52.9647998875238	90.7387341258142	56.0492591533923	40.4659387909385	0
26.6061665542243	44.0663030848357	57.8209068615096	53.3743245811327	0
63.9165396395204	67.5068903035674	63.068874267658	51.7033257810539	1
29.9261126926006	22.6010113698205	46.6315684834421	50.4114650785458	0
8.6004774739678	24.982133898772	56.3464787767014	45.3205551747636	0
29.4296187576501	41.560450424696	46.0472191161365	36.3341684438752	0
43.6018700319618	47.9110188358258	44.5325317849757	53.6158633036922	0
55.4483598058561	56.1218340503826	79.101477163979	70.43278773733	0
93.406032105438	66.963219906356	62.0013611421007	67.926080638324	1
5.06294860285338	28.7905396998002	47.9281841405342	52.3208753510174	0
52.2731178904906	28.8087837582857	32.1857723074612	39.2880950769402	0
