case_ID F2_1 C_2 F2_3 C_4 F2_5 C_6 F2_7 C_8 F2_9 C_10 F2_11 C_12 F2_13 C_14 F2_15 C_16 F2_17 C_18 F2_19 C_20
1 0 0 0 0 0 0 1 0 1 1 1 0 1 0 1 0 0 0 0 0
2 0 0 0 0 0 1 1 0 0 0 1 0 1 1 1 0 1 0 0 1
3 1 0 0 0 0 1 1 0 1 1 1 1 1 0 1 1 0 0 0 0
4 0 1 0 1 0 0 1 1 1 0 0 1 1 0 0 1 0 0 0 0
5 0 1 1 1 1 0 1 0 1 0 1 0 1 0 1 1 1 1 0 0
6 1 1 1 1 1 1 1 0 1 1 1 1 1 0 1 1 1 0 0 1
7 0 1 1 0 0 1 1 0 1 1 1 0 1 0 1 1 1 0 0 1
8 0 0 1 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0
9 0 0 0 0 0 0 1 0 1 1 0 0 1 0 1 1 1 0 0 0
10 0 0 0 1 0 1 0 0 1 1 1 0 1 0 1 1 0 0 0 0
11 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 1
12 1 1 1 1 0 0 1 0 0 1 1 0 1 0 0 1 1 1 0 0
13 0 1 1 1 0 1 0 1 1 1 1 0 0 0 1 1 1 0 0 0
14 1 1 0 1 0 1 1 0 1 0 0 0 1 1 1 0 0 0 0 0
15 0 1 0 0 1 1 1 0 0 1 0 0 1 1 1 0 1 0 0 1
16 0 0 0 1 0 1 0 0 0 0 1 0 1 1 1 1 1 0 0 0
17 1 1 1 1 0 1 1 1 1 1 1 0 0 1 1 1 0 0 0 1
18 0 1 1 0 0 0 1 0 1 0 1 0 1 1 1 1 0 0 0 1
19 0 1 1 1 0 1 1 1 1 0 0 0 1 0 1 1 1 0 0 0
20 0 0 0 0 0 1 1 0 0 1 1 0 0 0 0 1 0 0 0 0
21 0 1 0 1 0 1 1 0 0 0 1 1 0 0 0 1 0 1 0 0
22 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0
23 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0
24 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
25 0 1 0 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1
26 0 1 1 0 0 1 1 1 1 1 0 0 1 0 1 0 0 0 0 1
27 1 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0
28 0 1 1 0 1 0 0 1 0 0 0 1 1 0 0 1 0 0 0 0
29 0 1 1 0 1 1 1 0 0 1 1 0 1 0 1 1 0 0 0 0
30 1 0 0 0 1 1 1 1 1 1 1 0 1 0 1 1 0 0 0 0
31 0 1 1 0 1 1 1 1 1 1 1 1 1 0 0 1 1 0 0 1
32 0 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 0 0 0
33 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 1 0 0 0 0
34 0 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 0 0 1
35 0 0 0 0 1 1 1 0 1 1 1 0 1 0 1 1 0 0 0 0
36 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
37 1 1 1 1 0 1 1 1 1 1 1 1 1 0 1 1 0 0 0 0
38 0 1 0 0 0 1 1 0 1 1 1 0 1 0 1 1 0 0 0 1
39 1 1 1 0 0 1 0 0 1 1 1 0 1 1 1 0 0 0 0 0
40 0 0 0 1 0 0 1 0 0 0 1 0 1 0 0 1 0 0 0 0
41 0 1 0 0 0 1 1 0 1 1 1 0 1 0 1 1 0 0 0 1
42 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
43 0 0 1 0 0 1 1 1 1 1 1 1 1 0 0 1 1 0 0 1
44 0 1 1 1 1 0 1 0 0 1 1 0 1 1 0 1 0 0 0 1
45 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 1
46 0 1 0 1 0 1 0 0 0 1 1 0 1 0 1 0 0 0 0 0
47 0 1 1 1 0 1 1 1 1 1 1 1 1 0 1 0 1 0 0 1
48 0 0 1 1 0 1 0 0 1 1 1 1 1 0 1 1 1 0 0 0
49 0 0 0 0 1 1 1 0 1 0 0 0 1 0 1 1 0 0 0 0
50 0 0 1 0 0 1 1 1 1 1 1 1 0 1 1 0 0 0 0 1
51 0 0 0 0 0 1 0 0 0 1 1 0 1 0 1 0 0 0 0 1
52 1 1 1 1 0 1 1 1 0 1 1 1 1 1 1 1 0 0 1 1
53 0 1 0 1 0 0 1 0 1 0 1 0 1 0 0 0 1 0 0 0
54 0 1 0 0 0 0 1 0 1 0 0 1 0 0 0 1 0 0 0 0
55 0 1 0 0 0 0 0 0 0 1 1 0 1 0 0 1 1 0 0 0
56 0 1 0 0 0 0 1 0 0 0 0 0 1 0 0 1 0 0 0 0
57 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 1 0 0 0 0
58 1 1 0 1 1 0 1 1 0 0 1 1 0 0 1 1 1 1 0 1
59 0 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 0 0 1
60 0 1 0 0 0 1 1 0 1 1 1 0 1 0 1 1 0 0 0 0
61 0 1 1 1 0 1 0 1 0 1 0 1 1 0 1 1 0 0 0 1
62 0 1 1 1 0 1 1 1 1 1 1 0 1 1 1 1 1 0 0 0
63 0 0 1 0 1 1 0 0 1 1 1 1 1 1 0 1 0 0 0 1
64 1 1 1 1 0 1 0 0 1 1 1 1 1 0 1 0 1 0 0 0
65 0 0 0 1 1 1 1 1 0 0 1 1 1 0 1 1 0 0 0 1
66 0 1 1 1 0 1 1 1 0 1 1 1 0 0 1 1 0 1 0 1
67 0 0 0 0 0 0 0 0 0 1 1 0 1 0 1 0 0 0 0 0
